year,month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3,moisture4,irrigation,moisture0_diff
2020,3,6,22,16,11,0.33,0.40,0.36,0.23,0.02,False,0.00
2020,3,6,22,17,11,0.32,0.39,0.35,0.23,0.02,False,-0.01
2020,3,6,22,18,11,0.31,0.39,0.34,0.22,0.02,False,-0.01
2020,3,6,22,19,11,0.30,0.38,0.33,0.21,0.02,False,-0.01
2020,3,6,22,20,11,0.29,0.38,0.33,0.21,0.02,False,-0.01
2020,3,6,22,21,11,0.28,0.38,0.33,0.21,0.02,False,-0.01
2020,3,6,22,22,12,0.28,0.37,0.33,0.20,0.02,False,0.00
2020,3,6,22,23,12,0.27,0.37,0.33,0.19,0.02,False,-0.01
2020,3,6,22,24,12,0.30,0.38,0.35,0.20,0.03,True,0.03
2020,3,6,22,25,12,0.26,0.36,0.34,0.17,0.02,False,-0.04
2020,3,6,22,26,12,0.26,0.36,0.34,0.17,0.02,False,0.00
2020,3,6,22,27,12,0.25,0.36,0.34,0.17,0.02,False,-0.01
2020,3,6,22,28,12,0.25,0.36,0.34,0.17,0.02,False,0.00
2020,3,6,22,29,12,0.25,0.36,0.34,0.17,0.02,False,0.00
2020,3,6,22,30,12,0.24,0.36,0.34,0.16,0.02,False,-0.01